Alpha,Group,Lambda,FairnessType,G0_decision_obj_mean,G0_decision_obj_std,G0_mse_mean,G0_mse_std,G0_true_benefit_mean,G0_true_benefit_std,G1_decision_obj_mean,G1_decision_obj_std,G1_mse_mean,G1_mse_std,G1_true_benefit_mean,G1_true_benefit_std,final_fairness_penalty_mean,final_fairness_penalty_std,final_loss_mean,final_loss_std,final_regret_mean,final_regret_std
0.5,True,0.0,atkinson,2863.099218978794,0.0,321.2228013607196,0.0,11.37316267686806,0.0,863.3022915623238,0.0,550.801196626407,0.0,15.85545442326381,0.0,0.0,0.0,0.07430408895015717,0.0,0.07430408895015717,0.0
0.5,True,1.0,atkinson,2795.707853965334,0.0,325.2782778467058,0.0,11.37316267686806,0.0,884.9171796800767,0.0,519.685381595889,0.0,15.85545442326381,0.0,0.00656543901460005,0.0,0.08293453088300062,0.0,0.07636909186840057,0.0
0.5,True,1.0,mad,2782.455773888051,0.0,328.71752231213344,0.0,11.37316267686806,0.0,873.359784650499,0.0,530.6681237546926,0.0,15.85545442326381,0.0,101.4687014172049,0.0,101.54753753786997,0.0,0.0788361206650734,0.0
0.8,True,0.0,atkinson,4915.7824197252485,0.0,328.0870189454938,0.0,11.37316267686806,0.0,918.5801444925116,0.0,560.2273544508214,0.0,15.85545442326381,0.0,0.0,0.0,0.0016361857997253537,0.0,0.0016361857997253537,0.0
0.8,True,1.0,atkinson,4909.624743796659,0.0,332.4138614016198,0.0,11.37316267686806,0.0,917.6746737164505,0.0,526.9976746824595,0.0,15.85545442326381,0.0,0.006383535345117375,0.0,0.008054699408854171,0.0,0.0016711640637367964,0.0
0.8,True,1.0,mad,4911.832633358348,0.0,328.7184393328689,0.0,11.37316267686806,0.0,917.404238283124,0.0,530.6696538852055,0.0,15.85545442326381,0.0,101.4689991241647,0.0,101.47064107205719,0.0,0.0016419478924944997,0.0
1.5,True,0.0,atkinson,-1557.2837553407885,0.0,314.4873668672251,0.0,11.37316267686806,0.0,-115.23021747214673,0.0,529.3991199419268,0.0,15.85545442326381,0.0,0.0,0.0,0.027419425547122955,0.0,0.027419425547122955,0.0
1.5,True,1.0,atkinson,-1560.6668852201387,0.0,323.851758509237,0.0,11.37316267686806,0.0,-115.99920083088567,0.0,518.1094959312553,0.0,15.85545442326381,0.0,0.006606176616948178,0.0,0.03540663060764604,0.0,0.02880045399069786,0.0
1.5,True,1.0,mad,-1567.77278424846,0.0,328.7168515981794,0.0,11.37316267686806,0.0,-116.51114079692105,0.0,530.6663623140013,0.0,15.85545442326381,0.0,101.46798745410086,0.0,101.49835077354254,0.0,0.03036331944167614,0.0
2.0,True,0.0,atkinson,-845.5311895906107,0.0,345.90831178612325,0.0,11.37316267686806,0.0,-88.85840348156351,0.0,606.8408286903405,0.0,15.85545442326381,0.0,0.0,0.0,0.40278974175453186,0.0,0.40278974175453186,0.0
2.0,True,1.0,atkinson,-845.9871889070126,0.0,345.94618030710797,0.0,11.37316267686806,0.0,-88.89190680511629,0.0,606.4213090931954,0.0,15.85545442326381,0.0,0.009727143875261302,0.0,0.4123329158936939,0.0,0.4026057720184326,0.0
2.0,True,1.0,mad,-850.2546140283347,0.0,344.58512163997926,0.0,11.37316267686806,0.0,-89.00648477939365,0.0,593.5618033880472,0.0,15.85545442326381,0.0,123.09354329289309,0.0,123.50017592491022,0.0,0.4066326320171356,0.0
