Alpha,Group,Lambda,FairnessType,G0_decision_obj_mean,G0_decision_obj_std,G0_mse_mean,G0_mse_std,G1_decision_obj_mean,G1_decision_obj_std,G1_mse_mean,G1_mse_std,final_fairness_penalty_mean,final_fairness_penalty_std,final_loss_mean,final_loss_std,final_regret_mean,final_regret_std
0.5,True,0.0,atkinson,8799.45432274466,36.92732569348664,323.6356082934775,4.02156469632925,2930.798638100953,71.00536433695765,608.7759050819517,7.33811402122069,0.0,0.0,0.08258763700723648,0.0016779154539108276,0.08258763700723648,0.0016779154539108276
0.5,True,1.0,atkinson,8699.167440151678,40.48130464141286,319.5277415275416,3.946035530437058,3021.685075709831,80.30637220630001,566.5390623898843,6.985556372698056,0.010258098601531207,0.0009397395111429563,0.09094021981878203,0.0013035259984624514,0.08068212121725082,0.0022432655096054077
0.5,True,10.0,atkinson,8689.623638835163,41.48014381192297,320.00901669836276,4.031168970072599,3018.4234073726316,80.10915620806918,566.8047880465475,6.880667035706665,0.010219472395433304,0.0009399771505054222,0.1833749947155845,0.007135938667711006,0.08118027076125145,0.002263832837343216
0.5,False,0.0,atkinson,10017.184670163919,69.83533334877939,328.4560114197651,5.025855934246351,1700.4249274924646,49.74012740877322,618.0175619402723,9.571853364867934,0.0,0.0,0.18216866950235575,0.004030633060440991,0.18216866950235575,0.004030633060440991
0.5,False,1.0,atkinson,10019.324825237909,72.84724300694415,327.8595355075049,4.740803283664405,1716.4700958796652,35.49361735532659,615.1648528230749,11.589395294004305,0.6765755487031628,0.0034150119262325584,0.8574708154330457,0.006688384334333997,0.18089526672988285,0.003273372408101438
0.5,False,10.0,atkinson,10007.978414330351,78.51708723641059,327.34987167713535,4.699320821459423,1721.2757417612452,28.08614785337363,612.510496631267,12.549066064333147,0.6760730564512742,0.0033759893895224935,6.942065221014525,0.03691584909423584,0.18133465650178257,0.003155955199010768
0.5,True,0.0,mad,8799.45432274466,36.92732569348664,323.6356082934775,4.02156469632925,2930.798638100953,71.00536433695765,608.7759050819517,7.33811402122069,0.0,0.0,0.08258763700723648,0.0016779154539108276,0.08258763700723648,0.0016779154539108276
0.5,True,1.0,mad,8729.985715938828,35.11085448102858,316.39720448159994,4.324094737430499,3018.492355721187,82.62573610066192,563.3910608645265,6.688489309446197,124.04481344309623,5.541323633833358,124.1246659086364,5.539140855862328,0.07985246554017067,0.0021827779710292816
0.5,True,0.01,mad,8730.272134648238,34.953871117288145,315.54785409941866,4.373639327028059,3022.113247985344,83.37646256218045,560.2919737853535,6.30996800903489,122.93924151049063,5.375221376213489,1.309023307828705,0.05153562505635678,0.07963089272379875,0.002216588705778122
0.5,False,0.0,mad,10017.184670163919,69.83533334877939,328.4560114197651,5.025855934246351,1700.4249274924646,49.74012740877322,618.0175619402723,9.571853364867934,0.0,0.0,0.18216866950235575,0.004030633060440991,0.18216866950235575,0.004030633060440991
