Algorithm,Alpha,Lambda,Lambda_Label,Value,StdDev,Metric
FoldOpt,0.5,0.0,No Fairness (λ=0),0.1324874808390935,0.0039419624145444,Decision_Regret
FoldOpt,0.5,0.5,With Fairness (λ=0.5),0.1324874808390935,0.0039419624145444,Decision_Regret
FoldOpt,2.0,0.0,No Fairness (λ=0),0.1194663420319557,0.0068225937378919,Decision_Regret
FoldOpt,2.0,0.5,With Fairness (λ=0.5),0.1346715266505877,0.0137588007349312,Decision_Regret
FDFL-CF,0.5,0.0,No Fairness (λ=0),0.0189034118994765,0.0011922384857774,Decision_Regret
FDFL-CF,0.5,0.5,With Fairness (λ=0.5),0.0763437933387384,0.0013192391002471,Decision_Regret
FDFL-CF,2.0,0.0,No Fairness (λ=0),0.0357833604940304,0.0005047220530047,Decision_Regret
FDFL-CF,2.0,0.5,With Fairness (λ=0.5),0.0424934629658296,0.0001169503630785,Decision_Regret
FDFL-FD,0.5,0.0,No Fairness (λ=0),0.0223109409970499,0.0035276655458936,Decision_Regret
FDFL-FD,0.5,0.5,With Fairness (λ=0.5),0.0810187387296889,0.0006758402109557,Decision_Regret
FDFL-FD,2.0,0.0,No Fairness (λ=0),0.0543933405613029,0.0041475875058655,Decision_Regret
FDFL-FD,2.0,0.5,With Fairness (λ=0.5),0.0617523438506694,0.0087722417683605,Decision_Regret
FPTO,0.5,0.0,No Fairness (λ=0),0.0176486141155979,0.0004346133655962,Decision_Regret
FPTO,2.0,0.0,No Fairness (λ=0),0.0982529264055772,0.0017721872180512,Decision_Regret
FPTO,0.5,0.5,With Fairness (λ=0.5),0.0178959630997002,0.0011281061323473,Decision_Regret
FPTO,2.0,0.5,With Fairness (λ=0.5),0.0967908437599949,0.0039073972103512,Decision_Regret
FoldOpt,0.5,0.0,No Fairness (λ=0),363.76163522668816,15.450425640601832,Prediction_MSE
FoldOpt,0.5,0.5,With Fairness (λ=0.5),363.76163522668816,15.450425640601832,Prediction_MSE
FoldOpt,2.0,0.0,No Fairness (λ=0),366.91246720558354,18.783714294062765,Prediction_MSE
FoldOpt,2.0,0.5,With Fairness (λ=0.5),328.9055751303585,22.56567945621915,Prediction_MSE
FDFL-CF,0.5,0.0,No Fairness (λ=0),207.93384552001956,12.74433135986328,Prediction_MSE
FDFL-CF,0.5,0.5,With Fairness (λ=0.5),220.47412109375,9.30059814453125,Prediction_MSE
FDFL-CF,2.0,0.0,No Fairness (λ=0),119.3415756225586,2.8384246826171875,Prediction_MSE
FDFL-CF,2.0,0.5,With Fairness (λ=0.5),106.92119216918944,3.0555458068847656,Prediction_MSE
FDFL-FD,0.5,0.0,No Fairness (λ=0),246.7064971923828,41.63526916503906,Prediction_MSE
FDFL-FD,0.5,0.5,With Fairness (λ=0.5),257.78099060058594,7.997909545898437,Prediction_MSE
FDFL-FD,2.0,0.0,No Fairness (λ=0),188.4053497314453,32.08140563964844,Prediction_MSE
FDFL-FD,2.0,0.5,With Fairness (λ=0.5),190.456657409668,13.889305114746094,Prediction_MSE
FPTO,0.5,0.0,No Fairness (λ=0),35.46272850036621,1.2644062042236328,Prediction_MSE
FPTO,2.0,0.0,No Fairness (λ=0),35.46272850036621,1.2644062042236328,Prediction_MSE
FPTO,0.5,0.5,With Fairness (λ=0.5),35.267635345458984,2.02859115600586,Prediction_MSE
FPTO,2.0,0.5,With Fairness (λ=0.5),35.267635345458984,2.02859115600586,Prediction_MSE
FoldOpt,0.5,0.0,No Fairness (λ=0),91.84737506789156,8.190338571816511,Prediction_Fairness
FoldOpt,0.5,0.5,With Fairness (λ=0.5),91.84737506789156,8.190338571816511,Prediction_Fairness
FoldOpt,2.0,0.0,No Fairness (λ=0),92.0643873863602,6.958481712678439,Prediction_Fairness
