Algorithm,Alpha,Lambda,Lambda_Label,Value,StdDev,Metric
FoldOpt,0.5,0.0,No Fairness (λ=0),0.1324874808390935,0.0039419624145444,Decision_Regret
FoldOpt,0.5,0.5,With Fairness (λ=0.5),0.1324874808390935,0.0039419624145444,Decision_Regret
FoldOpt,2.0,0.0,No Fairness (λ=0),0.1194663420319557,0.0068225937378919,Decision_Regret
FoldOpt,2.0,0.5,With Fairness (λ=0.5),0.1346715266505877,0.0137588007349312,Decision_Regret
FDFL-CF,0.5,0.0,No Fairness (λ=0),0.0189034118994765,0.0011922384857774,Decision_Regret
FDFL-CF,0.5,0.5,With Fairness (λ=0.5),0.0763437933387384,0.0013192391002471,Decision_Regret
FDFL-CF,2.0,0.0,No Fairness (λ=0),0.0357833604940304,0.0005047220530047,Decision_Regret
FDFL-CF,2.0,0.5,With Fairness (λ=0.5),0.0424934629658296,0.0001169503630785,Decision_Regret
FDFL-FD,0.5,0.0,No Fairness (λ=0),0.0223109409970499,0.0035276655458936,Decision_Regret
FDFL-FD,0.5,0.5,With Fairness (λ=0.5),0.0810187387296889,0.0006758402109557,Decision_Regret
FDFL-FD,2.0,0.0,No Fairness (λ=0),0.0543933405613029,0.0041475875058655,Decision_Regret
FDFL-FD,2.0,0.5,With Fairness (λ=0.5),0.0617523438506694,0.0087722417683605,Decision_Regret
FPTO,0.5,0.0,No Fairness (λ=0),0.0176486141155979,0.0004346133655962,Decision_Regret
FPTO,2.0,0.0,No Fairness (λ=0),0.0982529264055772,0.0017721872180512,Decision_Regret
FPTO,0.5,0.5,With Fairness (λ=0.5),0.0178959630997002,0.0011281061323473,Decision_Regret
FPTO,2.0,0.5,With Fairness (λ=0.5),0.0967908437599949,0.0039073972103512,Decision_Regret
