Algorithm,Alpha,Lambda,Lambda_Label,Value,StdDev,Metric
FoldOpt,0.5,0.0,No Fairness (λ=0),5.557689507802327,0.0307334719960454,Training_Time
FoldOpt,0.5,0.5,With Fairness (λ=0.5),5.497635920842488,0.0546928235695838,Training_Time
FoldOpt,2.0,0.0,No Fairness (λ=0),5.554298003514608,0.0589847774437262,Training_Time
FoldOpt,2.0,0.5,With Fairness (λ=0.5),5.545055468877156,0.0406721297295133,Training_Time
FDFL-CF,0.5,0.0,No Fairness (λ=0),7.649470448493957,0.0985766649246215,Training_Time
FDFL-CF,0.5,0.5,With Fairness (λ=0.5),3.272103190422058,0.0648523569107055,Training_Time
FDFL-CF,2.0,0.0,No Fairness (λ=0),10.187231540679932,0.0213425159454345,Training_Time
FDFL-CF,2.0,0.5,With Fairness (λ=0.5),10.24775218963623,0.1541094779968261,Training_Time
FDFL-FD,0.5,0.0,No Fairness (λ=0),78.21438324451447,4.007229447364807,Training_Time
FDFL-FD,0.5,0.5,With Fairness (λ=0.5),30.16303646564484,0.2919660806655884,Training_Time
FDFL-FD,2.0,0.0,No Fairness (λ=0),103.61136448383331,0.4982777833938598,Training_Time
FDFL-FD,2.0,0.5,With Fairness (λ=0.5),102.29251599311829,0.7698469161987305,Training_Time
FPTO,0.5,0.0,No Fairness (λ=0),1.2986648082733154,0.0047998428344726,Training_Time
FPTO,2.0,0.0,No Fairness (λ=0),1.2996495962142944,0.0329419374465942,Training_Time
FPTO,0.5,0.5,With Fairness (λ=0.5),1.3070486783981323,0.0670655965805053,Training_Time
FPTO,2.0,0.5,With Fairness (λ=0.5),1.2912944555282593,0.0411621332168579,Training_Time
