Group,Grad Method,Alpha,Beta,Lambda,Fairness,Final Regret,Final MSE,Final Fairness
True,closed-form,0.5,0.5,0.0,None,0.06426495881419138,308.3006591796875,0.0
True,closed-form,0.5,1.5,0.0,None,0.05359146208643175,290.0354410807292,0.0
True,closed-form,1.0,0.5,0.0,None,0.05572916300622935,308.0707600911458,0.0
True,closed-form,1.0,1.5,0.0,None,0.01501629157713343,290.2054748535156,0.0
True,closed-form,1.5,0.5,0.0,None,0.07645500020852038,308.01209513346356,0.0
True,closed-form,1.5,1.5,0.0,None,0.049900042387016334,289.2131042480469,0.0
True,closed-form,2.0,0.5,0.0,None,0.16376556225070896,307.99427286783856,0.0
True,closed-form,2.0,1.5,0.0,None,0.10428407665687588,287.97801717122394,0.0
True,closed-form,0.5,0.5,1.0,mad,0.06426495881419138,308.3006591796875,68.70477294921875
True,closed-form,0.5,1.5,1.0,mad,0.05359146208643175,290.0354410807292,57.74761454264323
True,closed-form,1.0,0.5,1.0,mad,0.05572916300622935,308.0707600911458,68.70883178710938
True,closed-form,1.0,1.5,1.0,mad,0.01501629157713343,290.2054748535156,56.609456380208336
True,closed-form,1.5,0.5,1.0,mad,0.07645500020852038,308.01209513346356,68.49927266438802
True,closed-form,1.5,1.5,1.0,mad,0.049900042387016334,289.2131042480469,54.68035888671875
True,closed-form,2.0,0.5,1.0,mad,0.16376556225070896,307.99427286783856,68.4154764811198
True,closed-form,2.0,1.5,1.0,mad,0.10428407665687588,287.97801717122394,53.41681416829427
True,closed-form,0.5,0.5,1.0,acc_parity,0.06426495881419138,308.3006591796875,137.4095458984375
True,closed-form,0.5,1.5,1.0,acc_parity,0.05359146208643175,290.0354410807292,115.49522908528645
True,closed-form,1.0,0.5,1.0,acc_parity,0.05572916300622935,308.0707600911458,137.41766357421875
True,closed-form,1.0,1.5,1.0,acc_parity,0.01501629157713343,290.2054748535156,113.21891276041667
True,closed-form,1.5,0.5,1.0,acc_parity,0.07645500020852038,308.01209513346356,136.99854532877603
True,closed-form,1.5,1.5,1.0,acc_parity,0.049900042387016334,289.2131042480469,109.3607177734375
True,closed-form,2.0,0.5,1.0,acc_parity,0.16376556225070896,307.99427286783856,136.8309529622396
True,closed-form,2.0,1.5,1.0,acc_parity,0.10428407665687588,287.97801717122394,106.83362833658855
True,closed-form,0.5,0.5,1.0,atkinson,0.06426495881419138,308.3006591796875,0.00449905792872111
True,closed-form,0.5,1.5,1.0,atkinson,0.05359146208643175,290.0354410807292,0.010008474191029867
True,closed-form,1.0,0.5,1.0,atkinson,0.05572916300622935,308.0707600911458,0.0045058925946553545
True,closed-form,1.0,1.5,1.0,atkinson,0.01501629157713343,290.2054748535156,0.009645005067189535
True,closed-form,1.5,0.5,1.0,atkinson,0.07645500020852038,308.01209513346356,0.0044816335042317705
True,closed-form,1.5,1.5,1.0,atkinson,0.049900042387016334,289.2131042480469,0.009115636348724365
True,closed-form,2.0,0.5,1.0,atkinson,0.16376556225070896,307.99427286783856,0.004471759001413981
True,closed-form,2.0,1.5,1.0,atkinson,0.10428407665687588,287.97801717122394,0.00880583127339681
True,finite-diff,0.5,0.5,0.0,None,0.07034458007862109,313.53907267252606,0.0
True,finite-diff,0.5,1.5,0.0,None,0.058105160038768255,291.55492146809894,0.0
True,finite-diff,1.0,0.5,0.0,None,0.06295997692315591,314.36448160807294,0.0
True,finite-diff,1.0,1.5,0.0,None,0.016706486920424164,291.8319396972656,0.0
True,finite-diff,1.5,0.5,0.0,None,0.08487815249017537,310.22548421223956,0.0
True,finite-diff,1.5,1.5,0.0,None,0.06364177827827651,297.1679382324219,0.0
True,finite-diff,2.0,0.5,0.0,None,0.19801022481443678,309.36927286783856,0.0
True,finite-diff,2.0,1.5,0.0,None,0.1227024837659458,298.1443583170573,0.0
True,finite-diff,0.5,0.5,1.0,mad,0.12647146129950243,307.99451700846356,57.844991048177086
True,finite-diff,0.5,1.5,1.0,mad,0.09551677321508843,317.58582560221356,60.42322285970052
True,finite-diff,1.0,0.5,1.0,mad,0.11533432994950672,315.9823913574219,60.92179870605469
True,finite-diff,1.0,1.5,1.0,mad,0.03066991282401126,302.5778096516927,57.19560750325521
True,finite-diff,1.5,0.5,1.0,mad,0.16128435010114212,311.6083170572917,58.0717519124349
True,finite-diff,1.5,1.5,1.0,mad,0.09517108892198539,306.73121134440106,57.08570353190104
True,finite-diff,2.0,0.5,1.0,mad,0.3525197437668925,314.87221272786456,59.580851236979164
True,finite-diff,2.0,1.5,1.0,mad,0.12984946253819923,296.3465983072917,59.84230041503906
True,finite-diff,0.5,0.5,1.0,acc_parity,0.13222660108029607,315.75339762369794,119.14059448242188
True,finite-diff,0.5,1.5,1.0,acc_parity,0.10146211163618434,325.0596211751302,126.73126220703125
True,finite-diff,1.0,0.5,1.0,acc_parity,0.12068384749456157,316.17885335286456,120.5728251139323
True,finite-diff,1.0,1.5,1.0,acc_parity,0.030476502162061533,315.24132283528644,118.94472249348958
True,finite-diff,1.5,0.5,1.0,acc_parity,0.1582020019853184,322.26409912109375,123.61292521158855
True,finite-diff,1.5,1.5,1.0,acc_parity,0.09209627326665427,301.94460042317706,114.4009297688802
True,finite-diff,2.0,0.5,1.0,acc_parity,0.35901405506762857,324.84678141276044,126.45944213867188
True,finite-diff,2.0,1.5,1.0,acc_parity,0.1322664506847364,302.45826212565106,122.6275634765625
True,finite-diff,0.5,0.5,1.0,atkinson,0.07304186915442812,315.2609456380208,0.004478732744852702
True,finite-diff,0.5,1.5,1.0,atkinson,0.1081249811095567,336.9801940917969,0.011912107467651367
True,finite-diff,1.0,0.5,1.0,atkinson,0.06620354323554027,318.632568359375,0.004386603832244873
True,finite-diff,1.0,1.5,1.0,atkinson,0.020957343090332675,303.9833475748698,0.010430494944254557
True,finite-diff,1.5,0.5,1.0,atkinson,0.1084460969036507,325.2182922363281,0.00434720516204834
True,finite-diff,1.5,1.5,1.0,atkinson,0.061164133681643064,295.812744140625,0.01040881872177124
True,finite-diff,2.0,0.5,1.0,atkinson,0.298458427750045,324.8235575358073,0.004219373067220052
True,finite-diff,2.0,1.5,1.0,atkinson,0.1227024837659458,298.1443583170573,0.010668416817982992
False,closed-form,0.5,N/A,0.0,None,0.22354146156702634,307.42518107096356,0.0
False,closed-form,1.0,N/A,0.0,None,-3.1126075011806513,347.3394063313802,0.0
