Predictor,Group,FairnessType,Alpha,Lambda,Mean Runtime,Std Runtime
FairRiskPredictor,False,atkinson,0.5,0.0,5.172601064046224,0.029776105911619607
FairRiskPredictor,False,atkinson,0.5,1.0,5.359767516454061,0.0599660355928423
FairRiskPredictor,False,atkinson,0.5,5.0,5.2999327182769775,0.10004367952225357
FairRiskPredictor,False,atkinson,2.0,0.0,5.400773684183757,0.023604274054526437
FairRiskPredictor,False,atkinson,2.0,1.0,5.558294296264648,0.07917580467902101
FairRiskPredictor,False,atkinson,2.0,5.0,5.629321257273356,0.11453892867530763
FairRiskPredictor,False,mad,0.5,0.0,5.617863098780314,0.028341501075536353
FairRiskPredictor,False,mad,0.5,0.05,5.408011198043823,0.08066247156059393
FairRiskPredictor,False,mad,0.5,0.5,5.389103253682454,0.05949840256821264
FairRiskPredictor,False,mad,2.0,0.0,5.715938886006673,0.03945693707639404
FairRiskPredictor,False,mad,2.0,0.05,5.562446753184001,0.01909291982999405
FairRiskPredictor,False,mad,2.0,0.5,5.462837139765422,0.045270610618157195
FairRiskPredictor,True,atkinson,0.5,0.0,5.528810739517212,0.030145848549072415
FairRiskPredictor,True,atkinson,0.5,1.0,5.487784226735433,0.060543013446143754
FairRiskPredictor,True,atkinson,0.5,5.0,5.5473313331604,0.05864678417458638
FairRiskPredictor,True,atkinson,2.0,0.0,5.546898603439331,0.06959176260511925
FairRiskPredictor,True,atkinson,2.0,1.0,5.613500038782756,0.02084950700023548
FairRiskPredictor,True,atkinson,2.0,5.0,5.626816272735596,0.04716968239323812
FairRiskPredictor,True,mad,0.5,0.0,5.557689507802327,0.030733471996045425
FairRiskPredictor,True,mad,0.5,0.05,5.558798710505168,0.011973715438356916
FairRiskPredictor,True,mad,0.5,0.5,5.497635920842488,0.05469282356958385
FairRiskPredictor,True,mad,2.0,0.0,5.5542980035146075,0.05898477744372625
FairRiskPredictor,True,mad,2.0,0.05,5.458070357640584,0.03877473633017324
FairRiskPredictor,True,mad,2.0,0.5,5.545055468877156,0.040672129729513305
LinearRegressionModel,False,atkinson,0.5,0.0,5.294594605763753,0.0722317365373883
LinearRegressionModel,False,atkinson,0.5,1.0,5.449229637781779,0.015532629722608595
LinearRegressionModel,False,atkinson,0.5,5.0,5.372711817423503,0.0449396499075898
LinearRegressionModel,False,atkinson,2.0,0.0,5.681917508443196,0.057705992243439176
LinearRegressionModel,False,atkinson,2.0,1.0,5.420185724894206,0.10312558726653362
LinearRegressionModel,False,atkinson,2.0,5.0,5.590304056803386,0.06014407861672977
LinearRegressionModel,False,mad,0.5,0.0,5.449785788853963,0.03681271664297623
LinearRegressionModel,False,mad,0.5,0.05,5.459271192550659,0.02411535443191383
LinearRegressionModel,False,mad,0.5,0.5,5.337510108947754,0.06897800846553649
LinearRegressionModel,False,mad,2.0,0.0,5.528410275777181,0.10988200772130663
LinearRegressionModel,False,mad,2.0,0.05,5.589488665262858,0.07929250689169579
LinearRegressionModel,False,mad,2.0,0.5,5.535433848698934,0.0866095613087749
LinearRegressionModel,True,atkinson,0.5,0.0,5.464063962300618,0.022290950975915363
LinearRegressionModel,True,atkinson,0.5,1.0,5.317315260569255,0.09591523849638772
LinearRegressionModel,True,atkinson,0.5,5.0,5.497127374013265,0.07049202981577019
LinearRegressionModel,True,atkinson,2.0,0.0,5.378902355829875,0.10735075476997738
LinearRegressionModel,True,atkinson,2.0,1.0,5.339890162150065,0.016911971885489256
LinearRegressionModel,True,atkinson,2.0,5.0,5.409643093744914,0.06648464615923683
LinearRegressionModel,True,mad,0.5,0.0,5.439210096995036,0.06125249739661911
LinearRegressionModel,True,mad,0.5,0.05,5.396902402242024,0.051540230577404596
LinearRegressionModel,True,mad,0.5,0.5,5.329958279927571,0.04084758950240936
LinearRegressionModel,True,mad,2.0,0.0,5.42964768409729,0.047368942258398834
LinearRegressionModel,True,mad,2.0,0.05,5.452241659164429,0.027382414845042963
LinearRegressionModel,True,mad,2.0,0.5,5.517981052398682,0.04376679375632714
