Alpha,Race,True Solution Mean,True Solution Std,Predicted Solution Mean,Predicted Solution Std,True Utility Mean,True Utility Std,Predicted Utility Mean,Predicted Utility Std
0,White,0.02822547,5.31268937,0.02822547,5.31268937,8.02068635,1509.67982618,4.9858006,938.44370141
0,Black,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.5,White,0.02523466,0.03627803,0.02469778,0.14454863,2.64677907,6.40844601,1.82581035,25.13333367
0.5,Black,0.02318117,0.03595028,0.02734242,0.09778802,2.47994727,6.37166662,1.66578731,10.75963251
0.9,White,0.02504197,0.00400723,0.02495097,0.00376549,1.02973506,1.61576808,0.91236852,1.38230249
0.9,Black,0.02467469,0.00397428,0.02538005,0.00371363,0.94556921,1.60210031,0.84623907,1.36732549
1,White,0.02500001,9.76e-06,0.025,3.21e-06,0.85504551,1.22923598,0.85501907,1.22919845
1,Black,0.02499994,1.03e-05,0.02500001,3.27e-06,0.78546555,1.21813055,0.78544132,1.21809334
2,White,0.02475168,0.21579919,0.02513184,0.07027743,0.16216331,0.12049722,0.55586272,0.85382262
2,Black,0.0269247,0.22779026,0.02397809,0.07955802,0.1526621,0.11910646,0.48361478,0.80197593
inf,White,0.0246754,0.39182877,0.02433405,0.37653237,0.0006268,0.0,0.08497026,0.85002256
inf,Black,0.02751593,0.41369349,0.03016167,0.49461297,0.0006268,0.0,0.08967818,1.16034527
