Alpha,Race,True Solution Mean,True Solution Std,Predicted Solution Mean,Predicted Solution Std,True Utility Mean,True Utility Std,Predicted Utility Mean,Predicted Utility Std
0,White,0.02822547,5.31268937,0.02822547,5.31268937,8.02068635,1509.67982618,224.68132376,42290.25384281
0,Black,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.5,White,0.02523466,0.03627803,0.02451147,0.18553446,2.64677907,6.40844601,12.72025114,1152.15932477
0.5,Black,0.02318117,0.03595028,0.02878652,0.12332657,2.47994727,6.37166662,5.82461148,126.1585075
0.9,White,0.02504197,0.00400723,0.0249192,0.00439381,1.02973506,1.61576808,0.31245657,3.82747961
0.9,Black,0.02467469,0.00397428,0.02562627,0.00427723,0.94556921,1.60210031,0.36572119,2.07818052
1,White,0.02500001,9.76e-06,0.025,9.7e-07,0.85504551,1.22923598,0.22254659,1.68459352
1,Black,0.02499994,1.03e-05,0.02500001,2.34e-06,0.78546555,1.21813055,0.26136039,1.11972055
2,White,0.02475168,0.21579919,0.02534434,0.05960121,0.16216331,0.12049722,0.05299519,0.05425395
2,Black,0.0269247,0.22779026,0.02233109,0.06234881,0.1526621,0.11910646,0.05874066,0.05750502
inf,White,0.0246754,0.39182877,0.0248707,0.35557985,0.0006268,0.0,0.00383303,0.0
inf,Black,0.02751593,0.41369349,0.02600219,0.41891597,0.0006268,0.0,0.00383303,0.0
